4,3,1,-0,-2,-3,-4,-5,-6,-7,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-30,-31,-32,-33,-34,-35,-37,-38,-39,-41,-42,-43,-45,-46,-48,-50,-51,-53,-55,-57,-59,-61,-63,-66,-69,-72,-75,-79,-83,-88,-93,-101,-111,-128
3,3,3,2,1,0,-1,-1,-2,-3,-4,-5,-6,-6,-7,-8,-9,-10,-11,-12,-12,-13,-14,-15,-16,-17,-18,-19,-20,-20,-21,-22,-23,-24,-26,-27,-28,-29,-30,-31,-32,-34,-35,-36,-38,-39,-41,-42,-44,-46,-48,-50,-52,-54,-56,-59,-62,-65,-69,-74,-79,-86,-95,-111
1,3,3,3,2,1,1,0,-0,-1,-2,-2,-3,-4,-4,-5,-6,-7,-7,-8,-9,-10,-10,-11,-12,-13,-14,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-32,-33,-34,-36,-37,-39,-41,-43,-45,-47,-49,-52,-54,-58,-61,-65,-71,-77,-86,-101
-0,2,3,3,2,2,2,1,1,0,-0,-1,-2,-2,-3,-3,-4,-5,-5,-6,-7,-7,-8,-9,-9,-10,-11,-11,-12,-13,-14,-15,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-29,-30,-31,-33,-34,-36,-38,-40,-42,-44,-46,-49,-52,-55,-59,-64,-71,-79,-93
-2,1,2,2,2,2,2,2,1,1,0,-0,-0,-1,-1,-2,-3,-3,-4,-4,-5,-5,-6,-7,-7,-8,-9,-9,-10,-11,-11,-12,-13,-14,-15,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-27,-28,-29,-31,-32,-34,-36,-38,-40,-42,-45,-48,-51,-55,-59,-65,-74,-88
-3,0,1,2,2,2,2,2,2,1,1,1,0,-0,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-6,-7,-8,-8,-9,-10,-10,-11,-12,-13,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-27,-28,-29,-31,-33,-35,-37,-39,-41,-44,-47,-51,-55,-61,-69,-83
-4,-1,1,2,2,2,2,2,2,2,1,1,1,0,0,-0,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-6,-7,-7,-8,-9,-9,-10,-11,-12,-12,-13,-14,-15,-16,-17,-17,-18,-19,-21,-22,-23,-24,-25,-27,-28,-30,-32,-34,-36,-38,-41,-44,-48,-52,-58,-65,-79
-5,-1,0,1,2,2,2,2,2,2,2,1,1,1,1,0,-0,-1,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-6,-7,-7,-8,-9,-9,-10,-11,-12,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-25,-26,-28,-29,-31,-33,-36,-38,-41,-45,-49,-54,-62,-75
-6,-2,-0,1,1,2,2,2,2,2,2,2,1,1,1,1,0,-0,-0,-1,-1,-2,-2,-2,-3,-3,-4,-4,-5,-5,-6,-6,-7,-8,-8,-9,-10,-10,-11,-12,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-23,-24,-26,-27,-29,-31,-33,-36,-39,-42,-46,-52,-59,-72
-7,-3,-1,0,1,1,2,2,2,2,2,2,2,1,1,1,1,0,0,-0,-1,-1,-1,-2,-2,-3,-3,-3,-4,-4,-5,-5,-6,-7,-7,-8,-8,-9,-10,-10,-11,-12,-13,-14,-15,-15,-16,-17,-19,-20,-21,-22,-24,-25,-27,-29,-31,-34,-37,-40,-44,-49,-56,-69
