4,2,1,0,-0,-1,-2,-3,-4,-5,-6,-7,-8,-10,-12,-17
2,2,2,1,1,0,-0,-1,-2,-2,-3,-4,-5,-6,-8,-12
1,2,2,1,1,1,0,-0,-1,-1,-2,-3,-4,-5,-6,-10
0,1,1,1,1,1,1,0,-0,-1,-1,-2,-2,-4,-5,-8
-0,1,1,1,1,1,1,1,0,-0,-1,-1,-2,-3,-4,-7
-1,0,1,1,1,1,1,1,0,0,-0,-1,-1,-2,-3,-6
-2,-0,0,1,1,1,1,1,1,0,0,-0,-1,-1,-2,-5
-3,-1,-0,0,1,1,1,1,1,1,0,0,-0,-1,-2,-4
-4,-2,-1,-0,0,0,1,1,1,1,1,1,0,-0,-1,-3
-5,-2,-1,-1,-0,0,0,1,1,1,1,1,1,0,-0,-2
-6,-3,-2,-1,-1,-0,0,0,1,1,1,1,1,1,0,-1
-7,-4,-3,-2,-1,-1,-0,0,1,1,1,1,1,1,1,-0
-8,-5,-4,-2,-2,-1,-1,-0,0,1,1,1,1,1,1,0
-10,-6,-5,-4,-3,-2,-1,-1,-0,0,1,1,1,2,2,1
-12,-8,-6,-5,-4,-3,-2,-2,-1,-0,0,1,1,2,2,2
-17,-12,-10,-8,-7,-6,-5,-4,-3,-2,-1,-0,0,1,2,4
