5,2,-6,-15,-25,-35,-46,-59,-72,-87,-103,-122,-145,-173,-212,-275
2,5,2,-2,-8,-15,-22,-31,-41,-53,-66,-81,-100,-124,-157,-212
-6,2,4,3,-0,-5,-11,-17,-25,-34,-45,-58,-74,-95,-124,-173
-15,-2,3,4,3,0,-4,-8,-15,-22,-31,-42,-56,-74,-100,-145
-25,-8,-0,3,4,3,1,-3,-7,-13,-21,-30,-42,-58,-81,-122
-35,-15,-5,0,3,3,3,1,-2,-7,-13,-21,-31,-45,-66,-103
-46,-22,-11,-4,1,3,3,3,1,-2,-7,-13,-22,-34,-53,-87
-59,-31,-17,-8,-3,1,3,3,3,1,-2,-7,-15,-25,-41,-72
-72,-41,-25,-15,-7,-2,1,3,3,3,1,-3,-8,-17,-31,-59
-87,-53,-34,-22,-13,-7,-2,1,3,3,3,1,-4,-11,-22,-46
-103,-66,-45,-31,-21,-13,-7,-2,1,3,3,3,0,-5,-15,-35
-122,-81,-58,-42,-30,-21,-13,-7,-3,1,3,4,3,-0,-8,-25
-145,-100,-74,-56,-42,-31,-22,-15,-8,-4,0,3,4,3,-2,-15
-173,-124,-95,-74,-58,-45,-34,-25,-17,-11,-5,-0,3,4,2,-6
-212,-157,-124,-100,-81,-66,-53,-41,-31,-22,-15,-8,-2,2,5,2
-275,-212,-173,-145,-122,-103,-87,-72,-59,-46,-35,-25,-15,-6,2,5
