5,3,1,-1,-2,-4,-6,-7,-9,-11,-13,-16,-19,-23,-28,-37
3,3,2,1,0,-1,-2,-3,-4,-6,-8,-10,-12,-16,-20,-28
1,2,2,2,1,1,-0,-1,-2,-3,-5,-7,-9,-12,-16,-23
-1,1,2,2,2,1,1,-0,-1,-2,-3,-5,-6,-9,-12,-19
-2,0,1,2,2,2,1,1,0,-1,-2,-3,-5,-7,-10,-16
-4,-1,1,1,2,2,1,1,1,0,-1,-2,-3,-5,-8,-13
-6,-2,-0,1,1,1,1,1,1,1,0,-1,-2,-3,-6,-11
-7,-3,-1,-0,1,1,1,1,1,1,1,0,-1,-2,-4,-9
-9,-4,-2,-1,0,1,1,1,1,1,1,1,-0,-1,-3,-7
-11,-6,-3,-2,-1,0,1,1,1,1,1,1,1,-0,-2,-6
-13,-8,-5,-3,-2,-1,0,1,1,1,2,2,1,1,-1,-4
-16,-10,-7,-5,-3,-2,-1,0,1,1,2,2,2,1,0,-2
-19,-12,-9,-6,-5,-3,-2,-1,-0,1,1,2,2,2,1,-1
-23,-16,-12,-9,-7,-5,-3,-2,-1,-0,1,1,2,2,2,1
-28,-20,-16,-12,-10,-8,-6,-4,-3,-2,-1,0,1,2,3,3
-37,-28,-23,-19,-16,-13,-11,-9,-7,-6,-4,-2,-1,1,3,5
