5,2,-0,-3,-6,-9,-12,-15,-19,-23,-27,-32,-38,-46,-56,-73
2,4,3,1,-1,-3,-5,-7,-10,-13,-17,-21,-26,-32,-41,-56
-0,3,3,2,1,0,-2,-3,-6,-8,-11,-15,-19,-24,-32,-46
-3,1,2,3,2,1,0,-1,-3,-5,-7,-10,-14,-19,-26,-38
-6,-1,1,2,2,2,1,0,-1,-2,-4,-7,-10,-15,-21,-32
-9,-3,0,1,2,2,2,1,0,-1,-2,-4,-7,-11,-17,-27
-12,-5,-2,0,1,2,2,2,1,0,-1,-2,-5,-8,-13,-23
-15,-7,-3,-1,0,1,2,2,2,1,0,-1,-3,-6,-10,-19
-19,-10,-6,-3,-1,0,1,2,2,2,1,0,-1,-3,-7,-15
-23,-13,-8,-5,-2,-1,0,1,2,2,2,1,0,-2,-5,-12
-27,-17,-11,-7,-4,-2,-1,0,1,2,2,2,1,0,-3,-9
-32,-21,-15,-10,-7,-4,-2,-1,0,1,2,2,2,1,-1,-6
-38,-26,-19,-14,-10,-7,-5,-3,-1,0,1,2,3,2,1,-3
-46,-32,-24,-19,-15,-11,-8,-6,-3,-2,0,1,2,3,3,-0
-56,-41,-32,-26,-21,-17,-13,-10,-7,-5,-3,-1,1,3,4,2
-73,-56,-46,-38,-32,-27,-23,-19,-15,-12,-9,-6,-3,-0,2,5
