5,2,-3,-10,-16,-23,-31,-39,-48,-58,-69,-81,-96,-115,-141,-183
2,4,3,-1,-5,-9,-15,-21,-27,-35,-44,-54,-67,-82,-104,-141
-3,3,4,3,0,-3,-6,-11,-16,-22,-30,-38,-49,-63,-82,-115
-10,-1,3,3,3,1,-2,-5,-9,-14,-20,-28,-37,-49,-67,-96
-16,-5,0,3,3,3,1,-1,-4,-8,-13,-20,-28,-38,-54,-81
-23,-9,-3,1,3,3,3,1,-1,-4,-8,-13,-20,-30,-44,-69
-31,-15,-6,-2,1,3,3,2,1,-1,-4,-8,-14,-22,-35,-58
-39,-21,-11,-5,-1,1,2,3,2,1,-1,-4,-9,-16,-27,-48
-48,-27,-16,-9,-4,-1,1,2,3,2,1,-1,-5,-11,-21,-39
-58,-35,-22,-14,-8,-4,-1,1,2,3,3,1,-2,-6,-15,-31
-69,-44,-30,-20,-13,-8,-4,-1,1,3,3,3,1,-3,-9,-23
-81,-54,-38,-28,-20,-13,-8,-4,-1,1,3,3,3,0,-5,-16
-96,-67,-49,-37,-28,-20,-14,-9,-5,-2,1,3,3,3,-1,-10
-115,-82,-63,-49,-38,-30,-22,-16,-11,-6,-3,0,3,4,3,-3
-141,-104,-82,-67,-54,-44,-35,-27,-21,-15,-9,-5,-1,3,4,2
-183,-141,-115,-96,-81,-69,-58,-48,-39,-31,-23,-16,-10,-3,2,5
