5,3,0,-2,-4,-6,-8,-11,-13,-16,-20,-23,-28,-33,-40,-53
3,3,3,1,-0,-2,-3,-5,-7,-9,-12,-15,-18,-23,-30,-40
0,3,3,2,1,0,-1,-2,-4,-6,-8,-10,-13,-17,-23,-33
-2,1,2,2,2,1,1,-0,-2,-3,-5,-7,-10,-13,-18,-28
-4,-0,1,2,2,2,1,1,-0,-1,-3,-5,-7,-10,-15,-23
-6,-2,0,1,2,2,2,1,1,-0,-1,-3,-5,-8,-12,-20
-8,-3,-1,1,1,2,2,2,1,1,-0,-1,-3,-6,-9,-16
-11,-5,-2,-0,1,1,2,2,2,1,1,-0,-2,-4,-7,-13
-13,-7,-4,-2,-0,1,1,2,2,2,1,1,-0,-2,-5,-11
-16,-9,-6,-3,-1,-0,1,1,2,2,2,1,1,-1,-3,-8
-20,-12,-8,-5,-3,-1,-0,1,1,2,2,2,1,0,-2,-6
-23,-15,-10,-7,-5,-3,-1,-0,1,1,2,2,2,1,-0,-4
-28,-18,-13,-10,-7,-5,-3,-2,-0,1,1,2,2,2,1,-2
-33,-23,-17,-13,-10,-8,-6,-4,-2,-1,0,1,2,3,3,0
-40,-30,-23,-18,-15,-12,-9,-7,-5,-3,-2,-0,1,3,3,3
-53,-40,-33,-28,-23,-20,-16,-13,-11,-8,-6,-4,-2,0,3,5
