5,3,1,-1,-3,-5,-7,-9,-11,-14,-17,-20,-23,-28,-35,-45
3,3,2,1,0,-1,-3,-4,-6,-8,-10,-13,-16,-20,-25,-35
1,2,3,2,1,1,-0,-2,-3,-5,-6,-9,-11,-15,-20,-28
-1,1,2,2,2,1,1,-0,-1,-3,-4,-6,-8,-11,-16,-23
-3,0,1,2,2,2,1,1,-0,-1,-2,-4,-6,-9,-13,-20
-5,-1,1,1,2,2,2,1,1,-0,-1,-2,-4,-6,-10,-17
-7,-3,-0,1,1,2,2,1,1,1,-0,-1,-3,-5,-8,-14
-9,-4,-2,-0,1,1,1,2,1,1,1,-0,-1,-3,-6,-11
-11,-6,-3,-1,-0,1,1,1,2,1,1,1,-0,-2,-4,-9
-14,-8,-5,-3,-1,-0,1,1,1,2,2,1,1,-0,-3,-7
-17,-10,-6,-4,-2,-1,-0,1,1,2,2,2,1,1,-1,-5
-20,-13,-9,-6,-4,-2,-1,-0,1,1,2,2,2,1,0,-3
-23,-16,-11,-8,-6,-4,-3,-1,-0,1,1,2,2,2,1,-1
-28,-20,-15,-11,-9,-6,-5,-3,-2,-0,1,1,2,3,2,1
-35,-25,-20,-16,-13,-10,-8,-6,-4,-3,-1,0,1,2,3,3
-45,-35,-28,-23,-20,-17,-14,-11,-9,-7,-5,-3,-1,1,3,5
