4,3,1,-0,-2,-3,-4,-6,-7,-9,-11,-13,-15,-18,-22,-30
3,3,2,1,1,-0,-1,-2,-3,-5,-6,-8,-10,-12,-16,-22
1,2,2,2,1,1,0,-1,-2,-3,-4,-5,-7,-9,-12,-18
-0,1,2,2,2,1,1,0,-1,-1,-2,-3,-5,-7,-10,-15
-2,1,1,2,2,1,1,1,0,-0,-1,-2,-3,-5,-8,-13
-3,-0,1,1,1,1,1,1,1,0,-0,-1,-2,-4,-6,-11
-4,-1,0,1,1,1,1,1,1,1,0,-0,-1,-3,-5,-9
-6,-2,-1,0,1,1,1,1,1,1,1,0,-1,-2,-3,-7
-7,-3,-2,-1,0,1,1,1,1,1,1,1,0,-1,-2,-6
-9,-5,-3,-1,-0,0,1,1,1,1,1,1,1,0,-1,-4
-11,-6,-4,-2,-1,-0,0,1,1,1,1,1,1,1,-0,-3
-13,-8,-5,-3,-2,-1,-0,0,1,1,1,2,2,1,1,-2
-15,-10,-7,-5,-3,-2,-1,-1,0,1,1,2,2,2,1,-0
-18,-12,-9,-7,-5,-4,-3,-2,-1,0,1,1,2,2,2,1
-22,-16,-12,-10,-8,-6,-5,-3,-2,-1,-0,1,1,2,3,3
-30,-22,-18,-15,-13,-11,-9,-7,-6,-4,-3,-2,-0,1,3,4
