4,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-10,-12,-15,-20
2,2,2,1,1,0,-1,-1,-2,-3,-4,-5,-6,-8,-11,-15
1,2,2,2,1,1,0,-0,-1,-2,-2,-3,-4,-6,-8,-12
0,1,2,1,1,1,1,0,-0,-1,-1,-2,-3,-4,-6,-10
-1,1,1,1,1,1,1,1,0,-0,-1,-1,-2,-3,-5,-8
-2,0,1,1,1,1,1,1,1,0,-0,-1,-1,-2,-4,-7
-3,-1,0,1,1,1,1,1,1,1,0,-0,-1,-2,-3,-6
-4,-1,-0,0,1,1,1,1,1,1,1,0,-0,-1,-2,-5
-5,-2,-1,-0,0,1,1,1,1,1,1,1,0,-0,-1,-4
-6,-3,-2,-1,-0,0,1,1,1,1,1,1,1,0,-1,-3
-7,-4,-2,-1,-1,-0,0,1,1,1,1,1,1,1,0,-2
-8,-5,-3,-2,-1,-1,-0,0,1,1,1,1,1,1,1,-1
-10,-6,-4,-3,-2,-1,-1,-0,0,1,1,1,1,2,1,0
-12,-8,-6,-4,-3,-2,-2,-1,-0,0,1,1,2,2,2,1
-15,-11,-8,-6,-5,-4,-3,-2,-1,-1,0,1,1,2,2,2
-20,-15,-12,-10,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,4
