4,2,1,0,-1,-2,-2,-3,-4,-5,-7,-8,-10,-12,-14,-19
2,2,2,1,1,0,-0,-1,-2,-3,-4,-5,-6,-8,-10,-14
1,2,2,1,1,1,0,-0,-1,-1,-2,-3,-4,-6,-8,-12
0,1,1,1,1,1,1,0,-0,-1,-1,-2,-3,-4,-6,-10
-1,1,1,1,1,1,1,1,0,-0,-1,-1,-2,-3,-5,-8
-2,0,1,1,1,1,1,1,1,0,-0,-1,-1,-2,-4,-7
-2,-0,0,1,1,1,1,1,1,1,0,-0,-1,-1,-3,-5
-3,-1,-0,0,1,1,1,1,1,1,1,0,-0,-1,-2,-4
-4,-2,-1,-0,0,1,1,1,1,1,1,1,0,-0,-1,-3
-5,-3,-1,-1,-0,0,1,1,1,1,1,1,1,0,-0,-2
-7,-4,-2,-1,-1,-0,0,1,1,1,1,1,1,1,0,-2
-8,-5,-3,-2,-1,-1,-0,0,1,1,1,1,1,1,1,-1
-10,-6,-4,-3,-2,-1,-1,-0,0,1,1,1,1,1,1,0
-12,-8,-6,-4,-3,-2,-1,-1,-0,0,1,1,1,2,2,1
-14,-10,-8,-6,-5,-4,-3,-2,-1,-0,0,1,1,2,2,2
-19,-14,-12,-10,-8,-7,-5,-4,-3,-2,-2,-1,0,1,2,4
