5,2,-1,-4,-7,-11,-14,-18,-22,-27,-32,-38,-45,-54,-66,-86
2,4,3,1,-1,-4,-6,-9,-12,-16,-20,-25,-31,-38,-49,-66
-1,3,3,2,1,-0,-2,-4,-7,-10,-13,-17,-22,-29,-38,-54
-4,1,2,3,2,1,0,-2,-3,-6,-9,-12,-17,-22,-31,-45
-7,-1,1,2,2,2,1,0,-1,-3,-5,-8,-12,-17,-25,-38
-11,-4,-0,1,2,2,2,1,0,-1,-3,-5,-9,-13,-20,-32
-14,-6,-2,0,1,2,2,2,1,0,-1,-3,-6,-10,-16,-27
-18,-9,-4,-2,0,1,2,2,2,1,0,-1,-3,-7,-12,-22
-22,-12,-7,-3,-1,0,1,2,2,2,1,0,-2,-4,-9,-18
-27,-16,-10,-6,-3,-1,0,1,2,2,2,1,0,-2,-6,-14
-32,-20,-13,-9,-5,-3,-1,0,1,2,2,2,1,-0,-4,-11
-38,-25,-17,-12,-8,-5,-3,-1,0,1,2,2,2,1,-1,-7
-45,-31,-22,-17,-12,-9,-6,-3,-2,0,1,2,3,2,1,-4
-54,-38,-29,-22,-17,-13,-10,-7,-4,-2,-0,1,2,3,3,-1
-66,-49,-38,-31,-25,-20,-16,-12,-9,-6,-4,-1,1,3,4,2
-86,-66,-54,-45,-38,-32,-27,-22,-18,-14,-11,-7,-4,-1,2,5
