4,3,1,0,-1,-2,-3,-5,-6,-7,-9,-10,-12,-15,-19,-25
3,3,2,1,1,-0,-1,-2,-3,-4,-5,-6,-8,-10,-13,-19
1,2,2,2,1,1,0,-1,-1,-2,-3,-4,-6,-7,-10,-15
0,1,2,2,1,1,1,0,-0,-1,-2,-3,-4,-6,-8,-12
-1,1,1,1,1,1,1,1,0,-0,-1,-2,-3,-4,-6,-10
-2,-0,1,1,1,1,1,1,1,0,-0,-1,-2,-3,-5,-9
-3,-1,0,1,1,1,1,1,1,1,0,-0,-1,-2,-4,-7
-5,-2,-1,0,1,1,1,1,1,1,1,0,-0,-1,-3,-6
-6,-3,-1,-0,0,1,1,1,1,1,1,1,0,-1,-2,-5
-7,-4,-2,-1,-0,0,1,1,1,1,1,1,1,0,-1,-3
-9,-5,-3,-2,-1,-0,0,1,1,1,1,1,1,1,-0,-2
-10,-6,-4,-3,-2,-1,-0,0,1,1,1,1,1,1,1,-1
-12,-8,-6,-4,-3,-2,-1,-0,0,1,1,1,2,2,1,0
-15,-10,-7,-6,-4,-3,-2,-1,-1,0,1,1,2,2,2,1
-19,-13,-10,-8,-6,-5,-4,-3,-2,-1,-0,1,1,2,3,3
-25,-19,-15,-12,-10,-9,-7,-6,-5,-3,-2,-1,0,1,3,4
