5,2,-2,-6,-10,-15,-20,-25,-31,-38,-45,-53,-63,-75,-92,-119
2,4,3,0,-2,-6,-9,-13,-18,-23,-28,-35,-43,-53,-68,-92
-2,3,3,3,1,-1,-4,-7,-10,-14,-19,-25,-32,-41,-53,-75
-6,0,3,3,2,1,-0,-3,-5,-9,-13,-18,-24,-32,-43,-63
-10,-2,1,2,3,2,1,-0,-2,-5,-8,-12,-18,-25,-35,-53
-15,-6,-1,1,2,3,2,1,-0,-2,-5,-8,-13,-19,-28,-45
-20,-9,-4,-0,1,2,3,2,1,-0,-2,-5,-9,-14,-23,-38
-25,-13,-7,-3,-0,1,2,2,2,1,-0,-2,-5,-10,-18,-31
-31,-18,-10,-5,-2,-0,1,2,2,2,1,-0,-3,-7,-13,-25
-38,-23,-14,-9,-5,-2,-0,1,2,3,2,1,-0,-4,-9,-20
-45,-28,-19,-13,-8,-5,-2,-0,1,2,3,2,1,-1,-6,-15
-53,-35,-25,-18,-12,-8,-5,-2,-0,1,2,3,2,1,-2,-10
-63,-43,-32,-24,-18,-13,-9,-5,-3,-0,1,2,3,3,0,-6
-75,-53,-41,-32,-25,-19,-14,-10,-7,-4,-1,1,3,3,3,-2
-92,-68,-53,-43,-35,-28,-23,-18,-13,-9,-6,-2,0,3,4,2
-119,-92,-75,-63,-53,-45,-38,-31,-25,-20,-15,-10,-6,-2,2,5
