3,2,1,1,0,-0,-1,-1,-2,-2,-3,-3,-4,-5,-6,-9
2,2,1,1,1,0,0,-0,-1,-1,-1,-2,-2,-3,-4,-6
1,1,1,1,1,1,0,0,-0,-1,-1,-1,-2,-2,-3,-5
1,1,1,1,1,1,0,0,-0,-0,-1,-1,-1,-2,-2,-4
0,1,1,1,1,1,0,0,0,-0,-0,-0,-1,-1,-2,-3
-0,0,1,1,1,1,0,0,0,0,-0,-0,-1,-1,-1,-3
-1,0,0,0,0,0,0,0,0,0,0,-0,-0,-1,-1,-2
-1,-0,0,0,0,0,0,0,0,0,0,0,-0,-0,-1,-2
-2,-1,-0,-0,0,0,0,0,0,0,0,0,0,0,-0,-1
-2,-1,-1,-0,-0,0,0,0,0,0,0,0,0,0,0,-1
-3,-1,-1,-1,-0,-0,0,0,0,0,1,1,1,1,0,-0
-3,-2,-1,-1,-0,-0,-0,0,0,0,1,1,1,1,1,0
-4,-2,-2,-1,-1,-1,-0,-0,0,0,1,1,1,1,1,1
-5,-3,-2,-2,-1,-1,-1,-0,0,0,1,1,1,1,1,1
-6,-4,-3,-2,-2,-1,-1,-1,-0,0,0,1,1,1,2,2
-9,-6,-5,-4,-3,-3,-2,-2,-1,-1,-0,0,1,1,2,3
