4,2,1,1,-0,-1,-2,-2,-3,-4,-5,-6,-7,-8,-10,-14
2,2,2,1,1,0,-0,-1,-1,-2,-3,-3,-4,-5,-7,-10
1,2,1,1,1,1,0,-0,-1,-1,-2,-2,-3,-4,-5,-8
1,1,1,1,1,1,1,0,-0,-0,-1,-1,-2,-3,-4,-7
-0,1,1,1,1,1,1,0,0,-0,-0,-1,-1,-2,-3,-6
-1,0,1,1,1,1,1,1,0,0,-0,-0,-1,-2,-3,-5
-2,-0,0,1,1,1,1,1,1,0,0,-0,-0,-1,-2,-4
-2,-1,-0,0,0,1,1,1,1,1,0,0,-0,-1,-1,-3
-3,-1,-1,-0,0,0,1,1,1,1,1,0,0,-0,-1,-2
-4,-2,-1,-0,-0,0,0,1,1,1,1,1,1,0,-0,-2
-5,-3,-2,-1,-0,-0,0,0,1,1,1,1,1,1,0,-1
-6,-3,-2,-1,-1,-0,-0,0,0,1,1,1,1,1,1,-0
-7,-4,-3,-2,-1,-1,-0,-0,0,1,1,1,1,1,1,1
-8,-5,-4,-3,-2,-2,-1,-1,-0,0,1,1,1,1,2,1
-10,-7,-5,-4,-3,-3,-2,-1,-1,-0,0,1,1,2,2,2
-14,-10,-8,-7,-6,-5,-4,-3,-2,-2,-1,-0,1,1,2,4
